Price,Close,High,Low,Open,Volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
Date,,,,,,,,,
2020-11-16,156.55299377441406,157.13499450683594,153.63450622558594,154.66000366210938,76174000,154.13727,157.4195862154353,0.0,-0.8665924072265625
2020-11-20,154.97000122070312,156.64450073242188,154.90249633789062,155.8509979248047,67488000,154.11935,156.62740120038015,0.0,-1.6573944091796875
2020-11-23,154.91949462890625,156.9875030517578,153.2729949951172,155.8350067138672,94178000,153.96457,158.52115245743644,0.0,-3.601654052734375
2020-11-30,158.40199279785156,161.41949462890625,156.27749633789062,160.4239959716797,81278000,155.04024,159.46776960941366,0.0,-1.0657806396484375
2020-12-01,161.00399780273438,162.44749450683594,157.85899353027344,159.4250030517578,90740000,155.55153,159.60876096568802,0.0,1.395233154296875
2020-12-04,158.12899780273438,159.91050720214844,157.93800354003906,159.91050720214844,58272000,156.81616,159.16833212742648,0.0,-1.039337158203125
2020-12-28,164.197998046875,165.1999969482422,158.63450622558594,159.6999969482422,113736000,157.64021,158.56997411655396,0.0,5.628021240234375
2021-01-06,156.91900634765625,159.87550354003906,156.55799865722656,157.32400512695312,87896000,158.99664,161.21303369021896,4.2940216064453125,0.0
2021-01-12,156.04150390625,157.10699462890625,154.3000030517578,156.0,70292000,156.51564,170.67774557770366,14.636245727539062,0.0
2021-01-21,165.34950256347656,167.42750549316406,164.47850036621094,164.64999389648438,98722000,155.86404,164.05090856076126,0.0,1.2985992431640625
2021-01-27,161.62899780273438,167.3260040283203,160.35400390625,167.07449340820312,93204000,159.85681,163.5736088027364,0.0,-1.944610595703125
2021-01-28,161.88099670410156,165.08399963378906,161.4344940185547,161.7519989013672,62984000,160.22893,165.85595674734364,0.0,-3.9749603271484375
2021-02-01,167.1439971923828,167.51300048828125,161.75149536132812,162.1179962158203,83204000,160.31076,155.83174955864212,0.0,11.312240600585938
2021-02-03,165.62649536132812,171.6999969482422,165.43099975585938,171.25050354003906,141776000,161.472,156.3155264349429,0.0,9.31097412109375
2021-02-05,167.6074981689453,168.85000610351562,165.135498046875,165.9499969482422,72416000,162.31279,155.87459584808255,0.0,11.732894897460938
2021-02-09,165.25,166.89999389648438,164.89199829101562,165.62449645996094,44070000,162.90192,153.54740982414253,0.0,11.702590942382812
2021-02-22,159.03700256347656,161.61599731445312,158.61300659179688,160.406494140625,70314000,161.3232,153.2180802892668,-5.8189239501953125,0.0
2021-02-23,159.72500610351562,160.2364959716797,154.67999267578125,156.35150146484375,93544000,160.37238,154.73267685513215,-4.9923248291015625,0.0
2021-02-24,157.97650146484375,158.56149291992188,156.2689971923828,158.33749389648438,60226000,159.36702,153.1508155680161,-4.82568359375,0.0
2021-03-01,157.3070068359375,157.47799682617188,154.89950561523438,156.39450073242188,54582000,155.8367,152.88327713331284,0.0,4.423736572265625
2021-03-23,156.875,159.10000610351562,156.04249572753906,156.35000610351562,76346000,152.31958,169.63296815438954,0.0,-12.757965087890625
2021-03-26,152.60150146484375,152.83299255371094,149.8000030517578,152.2030029296875,66258000,152.46948,168.94990585733086,0.0,-16.348403930664062
2021-03-29,153.7864990234375,154.5625,151.42250061035156,152.77200317382812,54920000,152.24007,168.1163797986318,0.0,-14.329879760742188
2021-04-09,168.61000061035156,168.61000061035156,164.44500732421875,165.23500061035156,86830000,158.22218,175.66543074024418,0.0,-7.0554351806640625
2021-05-05,163.52699279785156,167.73500061035156,163.21800231933594,166.9429931640625,74226000,166.10246,163.18350686938896,-0.3434906005859375,0.0
2021-05-06,165.31849670410156,165.72000122070312,162.36000061035156,163.5,88954000,165.16536,162.2573093649343,0.0,3.061187744140625
2021-05-12,157.5970001220703,160.39700317382812,156.65499877929688,159.25,98728000,160.51341,159.67801747683106,2.081024169921875,0.0
2021-05-25,162.95249938964844,163.99099731445312,160.68800354003906,163.33349609375,65222000,159.05183,169.0331201022235,0.0,-6.08062744140625
2021-05-28,161.15350341796875,162.39950561523438,160.98500061035156,162.10000610351562,46596000,159.7494,173.23909615227257,0.0,-12.085586547851562
2021-06-11,167.3415069580078,168.32899475097656,166.67250061035156,167.4824981689453,56348000,160.53853,172.00450571356652,0.0,-4.662994384765625
2021-06-14,169.19349670410156,169.25,166.77499389648438,167.3415069580078,51394000,161.44846,175.91403956871844,0.0,-6.7205352783203125
2021-06-21,172.697998046875,174.10000610351562,171.6999969482422,173.8209991455078,65542000,166.47409,184.48294775323583,0.0,-11.784942626953125
2021-06-22,175.27200317382812,176.18899536132812,172.80450439453125,172.9029998779297,66902000,167.40172,184.81925615498633,0.0,-9.547256469726562
2021-06-25,170.072998046875,173.24099731445312,169.70899963378906,173.1999969482422,78820000,169.12268,176.03710481596147,0.0,-5.964111328125
2021-07-13,183.8679962158203,188.6540069580078,183.5659942626953,185.10499572753906,76918000,177.01411,166.4782314414276,0.0,17.3897705078125
2021-07-15,181.55999755859375,184.77000427246094,181.04600524902344,184.7100067138672,63706000,178.36446,167.250483353056,0.0,14.30950927734375
2021-07-21,179.25999450683594,179.32249450683594,177.1820068359375,178.81900024414062,46380000,176.22832,166.01637945844584,0.0,13.243621826171875
2021-07-27,181.3195037841797,184.9250030517578,179.3074951171875,184.9250030517578,82638000,176.54301,163.32848180544804,0.0,17.99102783203125
2021-07-29,179.99600219726562,181.8975067138672,179.00050354003906,181.3874969482422,110400000,176.63693,159.16933562462418,0.0,20.82666015625
2021-08-02,166.57400512695312,167.9459991455078,165.85000610351562,167.65499877929688,67078000,172.93112,160.06015225060906,-6.51385498046875,0.0
2021-08-23,163.2935028076172,164.0449981689453,160.50050354003906,160.59500122070312,65362000,159.55887,173.19574811423328,0.0,-9.902252197265625
2021-08-31,173.5395050048828,173.62899780273438,169.7794952392578,171.24000549316406,87128000,163.14067,166.9904103293234,0.0,6.5490875244140625
2021-09-15,173.7895050048828,174.27099609375,170.10049438476562,172.12600708007812,59150000,170.42358,160.14135950110636,0.0,13.648147583007812
2021-09-28,165.79800415039062,168.45950317382812,164.5050048828125,167.885498046875,88616000,166.24966,171.14008410478127,5.3420867919921875,0.0
2021-10-01,164.16299438476562,165.45849609375,162.7969970703125,164.45050048828125,56712000,164.16936,170.47795840834695,6.3149566650390625,0.0
2021-10-08,164.43099975585938,166.07150268554688,164.41000366210938,165.85000610351562,39964000,160.95175,164.45048289947474,0.0,-0.0194854736328125
2021-10-12,162.3665008544922,163.37649536132812,161.81399536132812,162.85000610351562,36392000,160.85112,165.19731288209522,0.0,-2.830810546875
2021-10-13,164.21400451660156,164.41900634765625,163.05450439453125,163.48550415039062,48402000,160.87715,164.89787540010803,0.0,-0.683868408203125
2021-10-19,172.20750427246094,172.7344970703125,171.10000610351562,171.71449279785156,47722000,163.51791,175.1736867043739,0.0,-2.9661865234375
2021-11-04,173.85000610351562,174.93150329589844,168.25,168.5,107060000,164.59406,179.5007362117736,0.0,-5.650726318359375
2021-11-09,178.81149291992188,179.68850708007812,175.07150268554688,175.7624969482422,85898000,167.56009,176.65589767885953,0.0,2.1555938720703125
2021-11-15,177.28399658203125,179.69400024414062,176.29049682617188,176.85000610351562,58594000,170.70657,174.01533164368573,0.0,3.2686614990234375
2021-11-16,177.03500366210938,178.8249969482422,176.25750732421875,176.9499969482422,44342000,171.35472,175.56030680653546,0.0,1.474700927734375
2021-12-22,171.03700256347656,172.0500030517578,168.50050354003906,169.27000427246094,55036000,166.0121,164.699091727949,0.0,6.3379058837890625
2021-12-30,168.64450073242188,170.88800048828125,168.5240020751953,169.6999969482422,37584000,166.6605,149.45301962157512,0.0,19.191482543945312
2021-12-31,166.7169952392578,169.35000610351562,166.55850219726562,168.95599365234375,47830000,166.51016,138.54197938667346,0.0,28.175018310546875
2022-01-11,165.36199951171875,166.35000610351562,160.70150756835938,161.5,62806000,161.994,154.53538322426667,0.0,10.826614379882812
2022-01-21,142.64300537109375,150.89999389648438,142.07049560546875,149.9499969482422,163972000,155.81155,157.6084109381325,14.965408325195312,0.0
2022-02-08,161.4134979248047,161.79249572753906,155.55050659179688,156.75050354003906,76040000,147.55557,150.34882332454245,0.0,11.064682006835938
2022-02-09,161.1894989013672,163.83450317382812,160.25,162.87350463867188,68786000,149.80544,153.02177495109598,0.0,8.167724609375
2022-02-15,156.510498046875,158.0070037841797,154.6374969482422,157.60549926757812,56440000,153.86372,139.04020054081968,0.0,17.470291137695312
2022-02-17,154.65249633789062,160.3489990234375,154.5,158.14599609375,64032000,154.50633,149.07885200736663,0.0,5.573638916015625
2022-02-18,152.60150146484375,155.49949645996094,150.89300537109375,155.49949645996094,63604000,154.36275,145.49814593849155,-7.103363037109375,0.0
2022-02-22,150.19749450683594,152.9824981689453,148.48550415039062,150.47850036621094,66128000,153.72363,142.37828835540057,-7.8191986083984375,0.0
2022-03-01,151.14199829101562,154.0989990234375,149.9770050048828,152.7324981689453,44874000,149.7125,161.26634067772008,0.0,-10.124343872070312
2022-03-16,153.10400390625,153.14999389648438,147.35350036621094,148.5,84958000,143.08055,161.111893336295,0.0,-8.007888793945312
